水果干果类,,,,,,,,,
杏子,0.1,石榴,0.8,凤梨,0.9,菠萝,0.9,,
葡萄,0.9,苹果,0.9,梨,1.1,西瓜,1.1,,
香蕉,1.2,桃子,1.3,枇杷,1.3,杨桃,1.4,,
莲蓬,1.5,木瓜,1.6,芒果,2.0,橙子,3.0,,
桔子,3.0,柠檬,3.4,哈密瓜,4.0,李子,4.2,,
番石榴,4.8,葡萄干,5.4,红枣,6.0,小番茄,7.6,,
黑枣,8.3,核桃,8.4,龙眼干,8.6,桂圆干,8.6,,
大樱桃,17.0,草莓,21.0,瓜子,24.2,杏仁,31.7,,
栗子,34.6,腰果,80.5,花生,96.3,干葵花籽,143.0,,
,,,,,,,,,
,,,,,,,,,
