,,,,,,,,,
,,,,,,,,,
佐料类,,,,,,,,,
蜂蜜,1.2,米醋,1.5,糯米醋,1.5,果酱,1.9,,
番茄酱,3.0,粉丝,3.8,冬瓜糖,7.1,味精,12.3,,
酱油,25.0,枸杞,31.7,味噌,34.3,莲子,40.9,,
黑芝麻,57.0,白芝麻,89.5,银耳,98.9,白木,98.9,,
鸡肉汤,<500,鸡精,<500,肉汁,500,麦芽,500,,
发芽豆类,500,酵母粉,559.1,,,,,,
